Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName,Class
DBIC,SHA-256,PoW/PoS,5129014.0,10500000.0,-0.31513168100830474,0.8009875625623676,-0.38444148632827396,0,DubaiCoin,0
DIEM,SHA-256,PoW,21739971929.0,21626280000.0,0.2742192894923389,-1.302768490972978,0.18838355649859614,3,CarpeDiemCoin,3
PWR,NIST5,PoW/PoS,10069449031.9252,0.0,-0.24003810112093749,1.4336174652369502,-0.670790825520511,0,PWR Coin,0
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000.0,-0.3328445376388067,0.9811666424653956,-0.5879006362703711,0,BillaryCoin,0
GPU,Scrypt,PoS,40477042.0,221052632.0,-0.2854560660428046,0.8002300635585117,-0.24926971280228824,0,GPU Coin,0
ADZ,X11,PoW,45110324.0,84000000.0,-0.23253382665971759,-0.901619663846789,0.061887756629365846,3,Adzcoin,3
SOIL,Dagger,PoW,5702048.0,30000000.0,-0.1668122747590926,-2.20797040729069,0.4200510429440641,3,SoilCoin,3
YOC,Scrypt,PoW,636462.55983338,168351300.0,-0.1615040414289694,-1.1056299407739074,-0.006066851870554382,3,YoCoin,3
SIB,X11GOST,PoW,17263355.0,24000000.0,-0.12309871191064647,-2.1770575166043464,0.4316637604720893,3,SibCoin,3
ERC,X11,PoW/PoS,10407269.7881868,384000000.0,-0.401378203579524,1.1848453978766806,-0.5199633010538648,0,EuropeCoin,0
ZEIT,Scrypt,PoS,36971236046.8073,99000000000.0,0.8660192717760808,0.7229317858937356,-0.26923503232347146,0,ZeitCoin,0
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000.0,-0.3149317486428736,0.8009646007351499,-0.3844434396514066,0,SwingCoin,0
SAFEX,Scrypt,PoC,2147483647.0,2147483647.0,-0.025506250197528443,0.3767754417560533,-0.28587075650489846,0,SafeExchangeCoin,0
NEBU,PoS,PoS,20000000.0,20000000.0,-0.3522093283211578,1.6240785015452786,-0.11590019605332819,0,Nebuchadnezzar,0
FRN,Scrypt,PoW,6570807.65677618,20000000.0,-0.16248316594797704,-1.105514491499825,-0.0060577615685144135,3,Francs,3
BOLI,X11,PoW,13654082.4987998,25000000.0,-0.2333364243210432,-0.9015733959556762,0.06190287992720444,3,BolivarCoin,3
XRA,X11,PoW/PoS,134554941.15119,75000000.0,-0.4020517122653128,1.1850846989429855,-0.5199824091675248,0,Ratecoin,0
REV,SHA-256,PoW/PoS,1195525.0,222725000.0,-0.31367531951340105,0.8008223582056069,-0.3844560409523935,0,Revenu,0
CKC,SHA-256,PoW/PoS,16662820.0,525000000.0,-0.31134355583377654,0.8005868353034736,-0.3844839415729114,0,Clockcoin,0
VIP,NIST5,PoW/PoS,83450403.0,90000000.0,-0.36141702281307486,1.4336516824178063,-0.6673992309651416,0,VIP Tokens,0
BSD,X11,PoW/PoS,24387724.5010828,139000000.0,-0.4029441391641663,1.1850360170068013,-0.5199497110386732,0,BitSend,0
OMNI,Scrypt,PoW,616448.0,616448.0,-0.1626933275113759,-1.1054993366344552,-0.006054283634036659,3,Omni,3
LIR,POS 3.0,PoS,38589808.6658096,33500000.0,-0.35216460060077387,1.4771425546086112,0.03338861489873743,0,Let it Ride,0
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000.0,-0.3091395771804744,0.9796336806055422,-0.588320909153463,0,PutinCoin,0
IBANK,Scrypt,PoW/PoS,4526324.0,44333333.0,-0.3328826446641721,0.9811648723649006,-0.5878992890016783,0,iBankCoin,0
FRWC,Scrypt,PoW/PoS,100000000.0,100000000.0,-0.3313214601904305,0.9811205313169792,-0.5879359484397992,0,Frankywillcoin,0
MUDRA,X13,PoS,5000000.0,200000000.0,-0.24043692841773603,1.5409111800166075,-0.3057459369812835,0,MudraCoin,0
PIZZA,X11,PoW,1377917.0,25000000.0,-0.2334864243260147,-0.9015732677429084,0.06190705762826641,3,PizzaCoin,3
LC,X11,PoS,657000000.0,657000000.0,-0.34580779645043747,1.0038292441468366,-0.18154874272220725,0,Lutetium Coin,0
KMD,Equihash,dPoW/PoW,115898131.0,200000000.0,-0.3205070925859893,-1.6096340204410702,0.5228136672797217,3,Komodo,3
GB,X11,PoW/PoS,15563873.0,50000000.0,-0.403682860674298,1.185105407521368,-0.5199400431104817,0,GoldBlocks,0
CTC,Scrypt,PoW/PoS,43165500.0,90000000.0,-0.3320867977126803,0.9811289112311359,-0.5879158582090637,0,CarterCoin,0
KRB,CryptoNight,PoW,7822432.72439746,10000000.0,0.2991350363693438,-2.29865633651405,0.43295108835242047,3,Karbo,3
BXT,SHA-256,PoW/PoS,595429.0,21000000.0,-0.31511264340485645,0.8009794342623455,-0.38444072983438476,0,BitTokens,0
ZYD,SHA-256,PoW,6243840.0,9736000.0,-0.14457648292411115,-1.2857101434589742,0.1973985924026774,3,ZayedCoin,3
MST,X11,PoW/PoS,657636.34549789,3000000.0,-0.40419817135067293,1.1851421589647448,-0.5199314506066843,0,MustangCoin,0
ZNE,Scrypt,PoW/PoS,2581970.0,21000000.0,-0.33307180804377917,0.9811830607803667,-0.5878968799184562,0,ZoneCoin,0
COVAL,Multiple,PoW,1000000000.0,1200000000.0,-0.10570324771468079,-1.8049699438800888,0.35017641878747124,3,Circuits of Value,3
ROOT,Scrypt,PoW/PoS,1939889.0,0.0,-0.33322851864202924,0.9811994187842197,-0.5878950887516737,0,RootCoin,0
DOPE,Scrypt,PoW,116845228.0,200000000.0,-0.1598597580070183,-1.1056557971925973,-0.0061087689940678026,3,DopeCoin,3
BTCR,Scrypt,PoS,169598616.0,0.0,-0.2854453568864785,0.8004008339335298,-0.24929709983817988,0,BitCurrency,0
DLC,SHA-256,PoW,9106714.0,10638298.0,-0.14453510581604656,-1.2857108759181564,0.19739755056639874,3,DollarCoin,3
SCN,Scrypt,PoW/PoW,665200057.0,3100000000.0,-0.20714768866968963,0.4793292600966532,-0.398549702254563,0,Swiscoin,0
SH,Scrypt,PoW,11119200.0,30000000.0,-0.162356701892302,-1.105522325335767,-0.006060058317438567,3,Shilling,3
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000.0,0.027409194865256226,1.7820555149581712,-0.7722706756124851,0,BuzzCoin,0
XPO,PoS,PoS,74033806.7949683,74000000.0,-0.3511663039968738,1.6240358910193378,-0.11592262827799008,0,Opair,0
PSB,Scrypt,PoW/PoS,33522957.0,0.0,-0.3328426114662517,0.9811990889293856,-0.5879058367834401,0,PesoBit,0
HALLO,X11,PoW/PoS,264678458.288619,1500000000.0,-0.3903601960779657,1.1839737875679872,-0.5201334077235578,0,Halloween Coin,0
XZC,Lyra2Z,PoW,7568281.24956067,21400000.0,-0.14973746445624955,-2.10315660429332,0.3120494955711809,3,ZCoin,3
CFC,PoS,PoS,148716816.0,39999898.0,-0.3504947877529621,1.6240615846363873,-0.11594549742841855,0,CoffeeCoin,0
ROYAL,X13,PoS,2500124.0,2500124.0,-0.24186751421285768,1.5410649860927572,-0.3057302957628183,0,RoyalCoin,0
GNJ,X14,PoW/PoS,100000000.0,100000000.0,-0.41091545443463606,1.7726488877603377,-0.8743204059689327,0,GanjaCoin V2,0
TEAM,PoS,PoS,17818682.1654,301000000.0,-0.3502440240670597,1.6238597283880403,-0.11592049742098685,0,TeamUP,0
LANA,SHA-256D,PoW/PoS,1082162635.53683,7506000000.0,-0.2871528032393616,1.7919769276438218,-0.7650407728752631,0,LanaCoin,0
ELE,Ethash,PoW,26205539.0,26205539.0,-0.15361934898899268,-1.9741341905584786,0.39739289044207227,3,Elementrem,3
ZCL,Equihash,PoW,5613550.0,21000000.0,-0.16434927795443174,-2.0454066077865414,0.40973360571277817,3,ZClassic,3
ARK,DPoS,DPoS,108202084.0,125000000.0,3.7162692384927367,2.947665038951185,-0.10268032326860271,0,ARK,0
INSANE,X11,PoW/PoS,18342813.0,30000000.0,-0.4037906816866782,1.185120951162705,-0.5199394910397105,0,InsaneCoin,0
KLC,Scrypt,PoW,196297971.0,10000000000.0,-0.08941854255677703,-1.113287232702335,-0.006869715663865882,3,KiloCoin,3
ATX,X11,PoW,824000000.0,500000000.0,-0.22006778234865587,-0.9019517100276664,0.061591539085167187,3,ArtexCoin,3
EMB,X13,PoW/PoS,92192822723.0,850000000.0,0.8448607517407174,1.7202390888955132,-0.675822091210255,0,EmberCoin,0
XEN,X11,PoW/PoS,3853326.77707314,3853326.77707314,-0.4041530747733539,1.1851414611602364,-0.5199326020363148,0,XenixCoin,0
FRE,PoS,PoS,50000000.0,50000000.0,-0.3516300998512498,1.624054829227023,-0.11591265200881445,0,FreeCoin,0
PLNC,Scrypt,PoW/PoS,17089600.0,38540000.0,-0.33277020438610766,0.9811692520351544,-0.5879031305547977,0,PLNCoin,0
ARCO,Scrypt,PoW/PoS,2449577.41533168,42000000.0,-0.3329245605829854,0.9811667108651477,-0.5878984075241853,0,AquariusCoin,0
KURT,X11,PoW,61364813.0,228000000.0,-0.23131442679126932,-0.9017319567951535,0.06187144110936472,3,Kurrent,3
XCRE,PoS,PoS,20000000.0,20000000.0,-0.3522093283211578,1.6240785015452786,-0.11590019605332819,0,Creatio,0
ENT,X11,PoW/PoS,6069482.07721352,60000000.0,-0.4037279825719018,1.1850977203488204,-0.5199375609607685,0,Eternity,0
EUC,SHA-256,PoW/PoS,12416554.0,20000000.0,-0.3149752922646626,0.8009800894352748,-0.38444467779206254,0,Eurocoin,0
BCF,Scrypt,PoW/PoS,20244023.640728,33000000.0,-0.33277093315756984,0.9811735327183483,-0.5879037891537479,0,BitcoinFast,0
XSN,X11,TPoS,75590369.0,76500000.0,-0.3837369853756219,0.711910810152606,-0.13461841380128356,0,Stakenet,0
BCCOIN,Scrypt,PoW/PoS,11080722.3769581,28000000.0,-0.3329183417793261,0.9811775215864104,-0.5879002963483908,0,BitConnect Coin,0
MONEY,Scrypt,PoW/PoS,10914418.0,650659833.0,-0.3285064527363026,0.9806926996832847,-0.587946869865863,0,MoneyCoin,0
XNG,X11,PoW/PoS,814671.0,5000000.0,-0.4041820749434047,1.1851406000581985,-0.5199316538243024,0,Enigma,0
XCI,CryptoNight,PoW,978145.0,21000000.0,0.2991293843675544,-2.2986648299976173,0.4329525937571083,3,Cannabis Industry Coin,3
RC,Scrypt,PoW/PoS,8377873.0,144000000.0,-0.332129064680057,0.981087228359829,-0.5879080636175127,0,Russiacoin,0
PND,Scrypt,PoS,33813143821.8337,32514916898.0,0.3561306449278193,0.7747322644649407,-0.2631813285133994,0,PandaCoin,0
UNITS,Scrypt,PoW/PoS,3472983.0,13000000.0,-0.33311763146380746,0.9811892805404705,-0.5878965840303678,0,GameUnits,0
GAKH,Scrypt,PoW/PoS,3315789.0,3315789.0,-0.3331882017771568,0.98119682263075,-0.5878958052988502,0,GAKHcoin,0
ASAFE2,Quark,PoS,10517772.7391666,15000000.0,-0.3598489307203641,1.42441273772808,-0.16781595035792704,0,Allsafe,0
LTCR,QuBit,PoW/PoS,30227750.0,78835200.0,-0.3548709838143762,0.5378720272952313,-0.3760352884029977,0,LiteCreed,0
OS76,Scrypt,PoW,894026.0,2714286.0,-0.16267506465354206,-1.1055009729798795,-0.006054535200702183,3,OsmiumCoin,3
BIC,CryptoNight,PoW,9357088.0,25000000.0,0.29926012025678805,-2.2986680320405752,0.43294944276524294,3,Bikercoins,3
HXX,Lyra2RE,PoW,1876146.443596,9999999.0,-0.14192396378975378,-2.215818600553455,0.3526251551555526,3,HexxCoin,3
KED,Scrypt,PoW/PoS,23965372.0,500000000.0,-0.3294149856039616,0.980809872131734,-0.5879400285337599,0,Klingon Empire Darsek,0
IOP,SHA-256,PoW/PoS,2526078.47525448,21000000.0,-0.3150890531859958,0.8009794140985648,-0.3844413868535788,0,Internet of People,0
KUSH,X11,PoW/PoS,5659096.95728771,9354000.0,-0.4040920171683594,1.1851371592937143,-0.5199336284954673,0,KushCoin,0
PRX,Scrypt,PoW/PoS,11821728.0,20000000.0,-0.33296599810941807,0.9811837429131971,-0.5878999494113025,0,Printerium,0
PAC,X11,PoW,536982074.0,100000000000.0,0.48176241052027236,-0.979422719274134,0.05423780014089883,3,PacCoin,3
IMPCH,Scrypt,PoW/PoS,308179.0,21933333.0,-0.33309297481408634,0.981182357803839,-0.587896176020778,0,Impeach,0
CTL,CryptoNight-V7,PoW,10969318.522954,185000000.0,-0.1295804775984726,-2.1275689810954646,0.38514034575212136,3,Citadel,3
ZBC,Scrypt,PoS,2922613.96424908,55000000.0,-0.2870920526498576,0.8003597498764901,-0.24924449721109476,0,Zilbercoin,0
FRST,Scrypt,PoW/PoS ,110000000.0,110000000.0,-0.2947770193007182,0.23314074233802798,-0.1967289551586661,0,FirstCoin,0
BVC,Scrypt,PoW,3115258.0,3360000.0,-0.1626433465172364,-1.1055014989528968,-0.006055339464622284,3,BeaverCoin,3
FIND,X13,PoS,14524851.4827,14524851.4827,-0.24163534539616222,1.54105549765356,-0.30573528841182684,0,FindCoin,0
VLTC,X11,PoW,30385540.0,1000000000.0,-0.22622039024580437,-0.9023327381037266,0.06182416967771915,3,VaultCoin,3
ZER,Equihash,PoW,6921653.89980891,17000000.0,-0.1643616497597603,-2.045403506915491,0.40973346010635875,3,Zero,3
CHAT,Scrypt,PoW/PoS,1000000000.0,1000000000.0,-0.3139446060931907,0.980410361769304,-0.5883096271043949,0,OpenChat,0
CDN,Scrypt,PoW,99843408.3158479,100000000.0,-0.16077638144847006,-1.105577756301417,-0.00609549424765809,3,Canada eCoin,3
ZOI,Lyra2RE,PoW,18545757.5,21000000.0,-0.1416423041695719,-2.2158273396179067,0.35261865854683816,3,Zoin,3
RNS,Scrypt,PoS,36050365.0,34426423.0,-0.2868331136067522,0.8003754231597365,-0.2492542301878153,0,RenosCoin,0
DBIX,Dagger-Hashimoto,PoW,2232901.0,2232901.0,-0.1574452173707943,-2.258827950003391,0.4359626383189085,3,DubaiCoin,3
XVP,X11,PoW/PoS,13162749.0858027,100000000.0,-0.40335775871828283,1.1850665009370576,-0.5199429704133061,0,VirtacoinPlus,0
TAJ,Blake2S,PoW/PoS,12184195.9258495,36900000.0,-0.41401100840145416,1.9760545758402368,-0.7559358164689884,0,TajCoin,0
IMX,X11,PoW/PoS,110630387.850471,110000000.0,-0.4020959330200379,1.1850576966487627,-0.5199768885047865,0,Impact,0
EB3,Scrypt,PoW,64096052.0,4000000000.0,-0.1335667882261382,-1.1086140525707249,-0.00637539454040413,3,EB3coin,3
ATMOS,PoS,PoS,111135836.889,110290030.0,-0.35045570837886286,1.6240072469007871,-0.11593797217629866,0,Atmos,0
HPC,X11,PoW/PoS,21521322.0099142,100000000.0,-0.40325562699153994,1.1850664136397853,-0.5199458149187007,0,HappyCoin,0
CXT,NIST5,PoW,10123200.0,48252000.0,-0.19206194499756266,-0.6530133346234859,-0.0855307496385831,3,Coinonat,3
MCRN,PoS,PoS,401421401.0,400000000.0,-0.34485506655514875,1.6237786373355345,-0.11605845520636818,0,MacronCoin,0
RAIN,X11,PoW/PoS,121665451.643876,500000000.0,-0.399196459487761,1.184753914436498,-0.5200098503939294,0,Condensate,0
IMS,Scrypt,PoW/PoS,5368934.0,21212121.0,-0.3330362510026524,0.9811828665087425,-0.5878978442354311,0,Independent Money System,0
ARGUS,Scrypt,PoW/PoS,1148324.0,28600000.0,-0.33303545047404703,0.9811771581408386,-0.5878969611877112,0,ArgusCoin,0
LMC,Scrypt,PoW/PoS,500000.0,1000000000.0,-0.32615729620264117,0.9804208005875718,-0.5879694873260132,0,LomoCoin,0
PROC,SHA-256,PoS,100545745.0,75000000000.0,0.26335554929195626,0.5618004152409334,-0.051434770131044166,0,ProCurrency,0
XGR,X11,PoW/PoS,17171382.0,40000000.0,-0.4037341070056619,1.1851131770648289,-0.5199398412759336,0,GoldReserve,0
BENJI,Scrypt,PoW,20276099.146524,35520400.0,-0.16220568247680592,-1.1055267193377007,-0.006063587916109507,3,BenjiRolls,3
GRW,Scrypt,PoS,295135466.361878,2000000000.0,-0.2697338149721002,0.7988422563517927,-0.24948959844109914,0,GrowthCoin,0
ILC,SHA-256,PoW,1317747500.0,2500000000.0,-0.11089845897507514,-1.28766284317013,0.19676578233762546,3,ILCoin,3
PHR,PoS,PoS,11390225.9742772,30000000.0,-0.35224364126225394,1.6240708051337558,-0.1158980149475303,0,Phreak,0
DEA,Scrypt,PoW/PoS,21358764.0,105000000.0,-0.3322469176054984,0.9811174594830421,-0.587909560488932,0,Degas Coin,0
HTML5,X15,PoW/PoS,40659020000.0,90000000000.0,0.8749566354968338,1.6689930216582212,-0.6928833970247019,0,HTML5 Coin,0
USC,SHA-256,PoS,10343113.0,200084200.0,-0.2679894700540552,0.620043057730984,-0.04580241358632596,0,Ultimate Secure Cash,0
EQT,Scrypt,PoW,13673406.4325268,72000000.0,-0.16202776227751317,-1.105555054607868,-0.006064072859739911,3,EquiTrader,3
QTUM,POS 3.0,PoS,100000000.0,100000000.0,-0.3509428355107722,1.4770901341279772,0.03336273630985609,0,QTUM,0
QRL,CryptoNight-V7,PoW,69036016.8340164,105000000.0,-0.12943807754599973,-2.127507296887608,0.3851265761645189,3,Quantum Resistant Ledger,3
ESP,536,PoW/PoS,22801882871.0,50000000000.0,0.5549938977882508,1.6170373388919732,-0.7209390385795257,0,Espers,0
DYN,Argon2d,PoW,19784224.6512734,0.0,-0.14954760646405998,-2.0674870401965952,0.409903593348967,3,Dynamic,3
NANO,Blake2b,PoW,133248297.0,340282367.0,-0.03499327951856006,-2.1520665926660323,0.4431704924006165,3,Nano,3
CHAN,Cloverhash,PoW,18407259.0885883,30000000.0,-0.14822801597576152,-2.146989146281226,0.4534275964436061,3,ChanCoin,3
DCY,CryptoNight,PoW,1809467143.0,2000000000.0,0.3352557160182664,-2.3002246331014544,0.43218894248123835,3,Dinastycoin,3
